group	n	mean	median	std	min	max
3T_ses-03	159.0	5.094285751017681	5.10329651684451	0.41414875378712523	3.98136794452494	6.11222368816498
7T_ses-06	152.0	2.2182684311826217	2.23728072627459	0.3365038907904005	1.20173305870817	2.88835588215073
paired_delta_7T_minus_3T	142.0	-2.8829493154611336	-2.883542947906615	0.27476985810756616	-3.6034827970398204	-2.2457659689656504
